[17:00:35] Loaded configuration from ElectionAuthority.xml
 17:03:26 >>> Loaded configuration from ElectionAuthority.xml
 17:09:39 >>> Loaded configuration from ElectionAuthority.xml
 17:17:37 >>> Loaded configuration from ElectionAuthority.xml
 17:22:04 >>> Loaded configuration from ElectionAuthority.xml
 17:22:13 >>> Loaded configuration from ElectionAuthority.xml
 17:23:34 >>> Loaded configuration from ElectionAuthority.xml
 17:23:40 >>> Loaded configuration from ElectionAuthority.xml
 17:23:54 >>> Loaded configuration from ElectionAuthority.xml
 17:25:02 >>> Loaded configuration from ElectionAuthority.xml
 17:25:05 >>> Loaded configuration from ElectionAuthority.xml
